metric,value
functionalRequirements,94
technicalApis,94
tests.unit,94
tests.integration,2
tests.e2e,2
implementation.files,200
implementation.bytes,184605
implementation.loc.total,8883
implementation.loc.avgPerFile,44
review.overallScore,79
review.findings,9
review.issues,0
review.recommendations,1
timings.functional,18
timings.technical,14
timings.architecture,24
timings.testing,59
timings.implementation,124
timings.review,77
timings.documentation,66
timings.deployment,58
orchestration.totalDurationMs,714
orchestration.tokensUsed,0
